glottocode,language_name,lang_family,lang_family_count,domains_of_use,speaker_number,speaker_number_trends,transmission,elcat_endangerment,country_count,max_gdp_percapita,avg_gdp_percapita,max_internet,avg_internet,max_urban,avg_urban,max_urban_growth,avg_urban_growth,official,regional,national,minority,widely_spoken,area_Africa,area_Australia,area_Eurasia,area_North America,area_Papunesia,area_South America
guri1248,Muno,,0.0,,3,,,endangered,1,3006.70564478923,3006.70564478923,18.81159973,18.81159973,15.4061816403333,15.4061816403333,4.06785501758394,4.06785501758394,0,0,0,0,0,0,0,0,0,1,0
pawa1255,Pawaia,,0.0,,2,,,threatened,1,3006.70564478923,3006.70564478923,18.81159973,18.81159973,15.4061816403333,15.4061816403333,4.06785501758394,4.06785501758394,0,0,0,0,0,0,0,0,0,1,0
dama1272,Damal,,0.0,,2,2,2,threatened,1,4925.43048751861,4925.43048751861,72.78075544,72.78075544,58.7509635387997,58.7509635387997,1.89719567962498,1.89719567962498,0,0,0,0,0,0,0,0,0,1,0
kusu1250,Kusunda,,0.0,5,5,5,5,critically endangered,1,1447.31004458428,1447.31004458428,46.32189941,46.32189941,66.772343163029,66.772343163029,0.196822600544043,0.196822600544043,0,0,0,0,0,0,0,1,0,0,0
vile1241,Vilela,,0.0,,,,,dormant,1,13969.7836603737,13969.7836603737,89.66715228,89.66715228,92.2742315972952,92.2742315972952,0.432261342079918,0.432261342079918,0,0,0,0,0,0,0,0,0,0,1
tuni1252,Tunica,,0.0,,,,,awakening,1,84534.0407841548,84534.0407841548,94.69380188,94.69380188,80.1247798047184,80.1247798047184,1.04286346807884,1.04286346807884,0,0,0,0,0,0,0,0,1,0,0
arut1244,Arutani,,0.0,5,5,5,5,critically endangered,2,10310.5488778166,7264.069952125255,84.46347227,80.57118697,89.285859883201,88.5908574182578,0.724401697459186,0.5671100519386305,0,0,0,0,0,0,0,0,0,0,1
yetf1238,Yetfa,,0.0,,2,,,threatened,2,4925.43048751861,3966.06806615392,72.78075544,45.796177584999995,58.7509635387997,37.0785725895665,4.06785501758394,2.9825253486044603,0,0,0,0,0,0,0,0,0,1,0
muni1258,Muniche,,0.0,,,,,dormant,1,8452.37167056621,8452.37167056621,81.95705992,81.95705992,85.1912729600355,85.1912729600355,1.57651042813743,1.57651042813743,0,0,0,0,0,0,0,0,0,0,1
taia1239,Taiap,,0.0,,4,,3,severely endangered,1,3006.70564478923,3006.70564478923,18.81159973,18.81159973,15.4061816403333,15.4061816403333,4.06785501758394,4.06785501758394,0,0,0,0,0,0,0,0,0,1,0
klam1254,Klamath-Modoc,,0.0,,,,,awakening,1,84534.0407841548,84534.0407841548,94.69380188,94.69380188,80.1247798047184,80.1247798047184,1.04286346807884,1.04286346807884,0,0,0,0,0,0,0,0,1,0,0
cayu1262,Cayubaba,,0.0,,,,,dormant,1,4421.16609889999,4421.16609889999,79.70469666,79.70469666,71.2361453773988,71.2361453773988,1.82370068528301,1.82370068528301,1,0,0,0,0,0,0,0,0,0,1
yama1264,Yámana,,0.0,,,,,dormant,1,16709.8893972307,16709.8893972307,95.590243,95.590243,88.9950908479196,88.9950908479196,0.739019575786262,0.739019575786262,0,0,0,0,0,0,0,0,0,0,1
